レベル　ふつう　600族　準伝説　伝説/幻
2	54	81	97	119
3	71	107	128	156
4	108	162	194	238
5	128	192	231	282
6	164	246	295	361
7	202	303	364	444
8	244	366	439	537
9	274	411	493	603
10	315	472	567	693
11	345	518	621	759
12	376	564	677	827
13	407	610	732	895
14	419	629	755	922
15	429	643	772	944
16	440	660	792	968
17	454	681	817	999
18	469	704	844	1,032
19	483	724	870	1,063
20	497	746	894	1,093
21	515	772	927	1,133
22	537	806	967	1,181
23	558	837	1,004	1,228
24	579	868	1,042	1,274
25	600	900	1,080	1,320
26	622	933	1,120	1,368
27	643	965	1,157	1,415
28	665	997	1,197	1,463
29	686	1,029	1,235	1,509
30	708	1,062	1,275	1,558
31	729	1,094	1,312	1,604
32	748	1,122	1,346	1,646
33	766	1,149	1,379	1,685
34	785	1,177	1,413	1,727
35	803	1,205	1,445	1,767
36	821	1,231	1,478	1,806
37	839	1,259	1,510	1,846
38	857	1,285	1,543	1,885
39	875	1,313	1,575	1,925
40	893	1,339	1,607	1,965
41	910	1,365	1,638	2,002
42	928	1,392	1,671	2,042
43	945	1,418	1,701	2,079
44	963	1,444	1,733	2,119
45	980	1,470	1,764	2,156
46	997	1,496	1,795	2,193
47	1,015	1,522	1,827	2,233
48	1,032	1,548	1,857	2,270
49	1,049	1,574	1,889	2,308
50	1,066	1,599	1,918	2,345
51	1,362	2,042	2,451	2,996
52	1,562	2,344	2,813	3,436
53	1,747	2,620	3,145	3,843
54	1,946	2,919	3,501	4,281
55	2,195	3,293	3,952	4,829
56	2,279	3,419	4,102	5,014
57	2,404	3,606	4,327	5,289
58	2,533	3,800	4,559	5,573
59	2,666	3,999	4,799	5,865
60	2,806	4,209	5,051	6,173
61	2,865	4,298	5,157	6,303
62	2,922	4,383	5,260	6,428
63	2,977	4,466	5,359	6,549
64	3,029	4,544	5,452	6,664
65	3,077	4,616	5,539	6,769
